time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
23.370743,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.019566,-0.009400,0.014893,-0.255460,0.000732,0.000732,-0.000977,0,0,0,0
23.380508,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.019796,-0.009400,0.014893,-0.255460,-0.000977,-0.001221,-0.000977,0,0,0,0
23.390272,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.018660,-0.009400,0.014893,-0.255460,0.000000,-0.001221,-0.002686,0,0,0,0
23.400040,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.019041,-0.009400,0.014893,-0.255460,-0.002441,0.000732,-0.000977,0,0,0,0
23.409803,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.019146,-0.009277,0.014893,-0.255371,-0.003174,-0.000244,-0.000488,0,0,0,0
23.419567,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.017950,-0.009400,0.014893,-0.255460,-0.002441,0.000732,-0.001465,0,0,0,0
23.429333,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.018293,-0.009400,0.014893,-0.255460,-0.003662,0.003906,-0.000488,0,0,0,0
23.439098,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.019608,-0.009400,0.014893,-0.255460,0.001221,-0.001709,-0.000977,0,0,0,0
23.448866,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.018759,-0.009400,0.014893,-0.255460,-0.001465,-0.000244,-0.000488,0,0,0,0
23.458630,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.019287,-0.009400,0.014893,-0.255460,-0.005127,0.000732,-0.001953,0,0,0,0
23.468395,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.019903,-0.009400,0.014893,-0.255460,-0.002441,-0.000732,0.001221,0,0,0,0
23.478163,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.020052,-0.009400,0.014893,-0.255460,0.001709,0.000732,-0.003174,0,0,0,0
23.487928,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.018539,-0.009400,0.014893,-0.255460,-0.001465,-0.003906,-0.000488,0,0,0,0
23.497700,-1.898438,-1.289062,0.007812,0.000000,0.000000,-0.019077,-0.009400,0.014893,-0.255460,-0.000977,0.000244,0.000000,0,0,0,0
