time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
31.892269,1.378906,2.738281,0.003906,0.000000,0.000000,-0.019133,-0.007386,-0.002747,0.996778,0.000244,0.000732,-0.001465,0,0,0,0
31.900076,1.378906,2.738281,0.003906,0.000000,0.000000,-0.013136,-0.007325,-0.002808,0.996778,-0.000244,0.000244,-0.000244,0,0,0,0
31.909845,1.378906,2.738281,0.003906,0.000000,0.000000,-0.013538,-0.007080,-0.002686,0.996582,0.000244,0.000244,-0.000977,0,0,0,0
31.919605,1.378906,2.738281,0.003906,0.000000,0.000000,-0.013697,-0.007325,-0.002808,0.996778,-0.004150,-0.001221,-0.002441,0,0,0,0
31.929371,1.378906,2.738281,0.003906,0.000000,0.000000,-0.014097,-0.007325,-0.002808,0.996778,-0.000244,-0.002197,-0.000244,0,0,0,0
31.939137,1.378906,2.738281,0.003906,0.000000,0.000000,-0.008875,-0.007325,-0.002808,0.996778,-0.001953,0.000244,-0.001465,0,0,0,0
31.948902,1.378906,2.738281,0.003906,0.000000,0.000000,-0.008566,-0.007325,-0.002808,0.996778,-0.002441,0.000732,-0.000977,0,0,0,0
31.958670,1.378906,2.738281,0.003906,0.000000,0.000000,-0.008299,-0.007325,-0.002808,0.996778,0.000732,0.000244,0.000732,0,0,0,0
31.968433,1.386719,2.738281,0.003906,-0.009998,-0.009998,-0.015711,-0.007325,-0.002808,0.996778,-0.005615,0.000732,-0.001953,0,0,0,0
31.978203,1.386719,2.738281,0.003906,-0.009998,-0.009998,-0.016127,-0.007325,-0.002808,0.996778,0.000244,0.001221,-0.000977,0,0,0,0
31.987965,1.386719,2.738281,0.003906,-0.009998,-0.009998,-0.016281,-0.007325,-0.002808,0.996778,-0.004150,0.000732,-0.001953,0,0,0,0
31.997732,1.386719,2.738281,0.003906,-0.009998,-0.009998,-0.015884,-0.007325,-0.002808,0.996778,-0.001465,0.000732,-0.002930,0,0,0,0
