time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
260.873596,1.609375,2.886719,0.007812,0.000000,0.000000,0.000685,0.010072,-0.000305,1.012663,-0.000244,0.002686,0.000732,0,0,0,0
260.882385,1.609375,2.886719,0.007812,0.000000,0.000000,0.000528,0.010072,-0.000305,1.012663,-0.002686,-0.003418,-0.000488,0,0,0,0
260.892151,1.609375,2.886719,0.007812,0.000000,0.000000,0.000660,0.010072,-0.000305,1.012663,-0.000732,-0.002930,-0.000977,0,0,0,0
260.901917,1.609375,2.886719,0.007812,0.000000,0.000000,0.000433,0.010072,-0.000305,1.012663,-0.000244,-0.000488,-0.000488,0,0,0,0
260.911682,1.609375,2.886719,0.007812,0.000000,0.000000,0.000608,0.010072,-0.000305,1.012663,-0.003906,0.001465,0.002930,0,0,0,0
260.921448,1.609375,2.886719,0.007812,0.000000,0.000000,0.000475,0.010072,-0.000305,1.012663,-0.001709,0.000000,0.000732,0,0,0,0
260.931213,1.609375,2.886719,0.007812,0.000000,0.000000,0.001261,0.010072,-0.000305,1.012663,-0.001221,0.000000,0.002930,0,0,0,0
260.940979,1.609375,2.886719,0.007812,0.000000,0.000000,0.000956,0.010072,-0.000305,1.012663,-0.000732,0.001465,0.000244,0,0,0,0
260.950745,1.609375,2.886719,0.007812,0.000000,0.000000,0.001150,0.010072,-0.000305,1.012663,-0.001709,-0.001953,0.000244,0,0,0,0
260.960510,1.609375,2.886719,0.007812,0.000000,0.000000,0.001234,0.010072,-0.000305,1.012663,-0.002686,-0.002930,-0.000977,0,0,0,0
260.970276,1.609375,2.886719,0.007812,0.000000,0.000000,0.001230,0.010072,-0.000305,1.012663,0.001953,-0.000488,-0.000488,0,0,0,0
260.980042,1.609375,2.886719,0.007812,0.000000,0.000000,0.001253,0.010072,-0.000305,1.012663,0.004150,-0.001465,-0.002441,0,0,0,0
260.989807,1.609375,2.886719,0.007812,0.000000,0.000000,0.001236,0.010072,-0.000305,1.012663,0.002441,0.000488,-0.001465,0,0,0,0
260.999573,1.609375,2.886719,0.007812,0.000000,0.000000,0.001305,0.010072,-0.000305,1.012663,-0.001221,-0.000488,0.000244,0,0,0,0
261.009338,1.609375,2.886719,0.007812,0.000000,0.000000,0.001816,0.010072,-0.000305,1.012663,0.001465,0.000977,-0.000488,0,0,0,0
261.019104,1.609375,2.886719,0.007812,0.000000,0.000000,0.002451,0.010072,-0.000305,1.012663,0.001953,-0.000977,0.000244,0,0,0,0
261.028870,1.609375,2.886719,0.007812,0.000000,0.000000,0.002571,0.010072,-0.000305,1.012663,0.001953,0.000488,-0.000488,0,0,0,0
261.038635,1.609375,2.886719,0.007812,-0.009998,-0.009998,0.002279,0.010072,-0.000305,1.012663,0.001953,-0.000488,-0.000488,0,0,0,0
261.048401,1.609375,2.886719,0.007812,-0.009998,-0.009998,0.002386,0.010072,-0.000305,1.012663,0.000488,0.002197,0.002197,0,0,0,0
261.058167,1.609375,2.886719,0.007812,-0.009998,-0.009998,0.002417,0.010072,-0.000305,1.012663,-0.000244,-0.000977,-0.000977,0,0,0,0
261.067932,1.609375,2.886719,0.007812,0.000000,0.000000,0.002691,0.010072,-0.000305,1.012663,-0.000244,-0.002441,0.002197,0,0,0,0
261.077698,1.609375,2.886719,0.007812,0.000000,0.000000,0.002684,0.010072,-0.000305,1.012663,0.003174,-0.001953,0.000732,0,0,0,0
261.087463,1.609375,2.886719,0.007812,0.000000,0.000000,0.003355,0.010072,-0.000305,1.012663,0.001953,0.000000,-0.000488,0,0,0,0
261.097229,1.609375,2.886719,0.007812,0.000000,0.000000,0.003004,0.010010,-0.000244,1.012451,-0.001221,0.000977,-0.001465,0,0,0,0
261.106995,1.609375,2.886719,0.007812,0.000000,0.000000,0.002657,0.010072,-0.000305,1.012663,0.000488,-0.000488,-0.001465,0,0,0,0
261.116760,1.609375,2.886719,0.007812,0.000000,0.000000,0.002897,0.010072,-0.000305,1.012663,-0.000244,0.003662,-0.000977,0,0,0,0
261.126526,1.609375,2.886719,0.007812,0.000000,0.000000,0.003063,0.010072,-0.000305,1.012663,0.000488,-0.000977,-0.000977,0,0,0,0
261.136292,1.609375,2.886719,0.007812,-0.009998,-0.009998,0.003027,0.010072,-0.000305,1.012663,0.002441,-0.000488,-0.000488,0,0,0,0
261.146057,1.609375,2.886719,0.007812,-0.009998,-0.009998,0.003077,0.010072,-0.000305,1.012663,0.003174,-0.000977,0.000244,0,0,0,0
261.155823,1.609375,2.886719,0.007812,-0.009998,-0.009998,0.002998,0.010072,-0.000305,1.012663,-0.002197,-0.001465,0.000244,0,0,0,0
261.165588,1.609375,2.886719,0.007812,-0.009998,-0.009998,0.003824,0.010072,-0.000305,1.012663,-0.001709,0.000000,0.001221,0,0,0,0
261.175354,1.609375,2.886719,0.007812,0.000000,0.000000,0.003532,0.010072,-0.000305,1.012663,-0.000732,-0.000488,0.001709,0,0,0,0
261.185120,1.609375,2.886719,0.007812,0.000000,0.000000,0.003895,0.010072,-0.000305,1.012663,0.000977,0.000488,-0.000488,0,0,0,0
261.194885,1.609375,2.886719,0.007812,0.000000,0.000000,0.004011,0.010072,-0.000305,1.012663,-0.003906,-0.000977,-0.002441,0,0,0,0
261.204651,1.609375,2.886719,0.007812,0.000000,0.000000,0.003815,0.010072,-0.000305,1.012663,0.002441,0.002197,-0.000488,0,0,0,0
261.214417,1.609375,2.886719,0.007812,0.000000,0.000000,0.003811,0.010072,-0.000305,1.012663,0.001465,0.000977,-0.000977,0,0,0,0
261.224182,1.609375,2.886719,0.007812,0.000000,0.000000,0.004000,0.010072,-0.000305,1.012663,-0.002686,-0.000488,-0.000488,0,0,0,0
261.233948,1.609375,2.886719,0.007812,0.000000,0.000000,0.004061,0.010072,-0.000305,1.012663,-0.000732,-0.000977,0.000732,0,0,0,0
261.243713,1.609375,2.886719,0.007812,0.000000,0.000000,0.003567,0.010072,-0.000305,1.012663,-0.001221,0.000977,0.000732,0,0,0,0
261.253479,1.609375,2.886719,0.007812,0.000000,0.000000,0.003397,0.010072,-0.000305,1.012663,-0.000732,-0.001465,-0.000977,0,0,0,0
261.263245,1.609375,2.886719,0.007812,0.000000,0.000000,0.003660,0.010072,-0.000305,1.012663,0.000488,-0.002441,-0.002930,0,0,0,0
261.273010,1.609375,2.886719,0.007812,0.000000,0.000000,0.003551,0.010072,-0.000305,1.012663,0.000488,-0.000977,0.000244,0,0,0,0
261.282776,1.609375,2.886719,0.007812,0.000000,0.000000,0.003489,0.010072,-0.000305,1.012663,-0.001221,-0.000488,0.000244,0,0,0,0
261.292542,1.609375,2.886719,0.007812,0.000000,0.000000,0.003502,0.010072,-0.000305,1.012663,-0.001221,-0.002441,-0.000488,0,0,0,0
261.302307,1.609375,2.886719,0.007812,0.000000,0.000000,0.002909,0.010072,-0.000305,1.012663,-0.000244,0.001465,0.000732,0,0,0,0
261.312073,1.609375,2.886719,0.007812,0.000000,0.000000,0.003128,0.010072,-0.000305,1.012663,-0.000732,-0.002441,-0.000977,0,0,0,0
261.321838,1.609375,2.886719,0.007812,0.000000,0.000000,0.002951,0.010072,-0.000305,1.012663,0.000488,0.000977,0.000732,0,0,0,0
261.331604,1.609375,2.886719,0.007812,0.000000,0.000000,0.003189,0.010072,-0.000305,1.012663,0.001953,0.002686,0.000244,0,0,0,0
261.341370,1.609375,2.886719,0.007812,0.000000,0.000000,0.003046,0.010072,-0.000305,1.012663,-0.000732,0.000000,0.000732,0,0,0,0
