time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
73.758347,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.000032,-0.019775,-0.011475,0.344482,-0.004150,-0.001709,-0.000488,0,0,0,0
73.768112,-1.628906,-1.046875,-0.007812,0.000000,0.000000,0.000200,-0.019775,-0.011475,0.344482,-0.002197,-0.001709,0.000244,0,0,0,0
73.777878,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.000235,-0.019775,-0.011475,0.344482,-0.002686,0.000244,0.000244,0,0,0,0
73.787636,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.000063,-0.019775,-0.011475,0.344482,0.001709,-0.001709,0.001709,0,0,0,0
73.797409,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.000309,-0.019742,-0.011619,0.344739,-0.002686,-0.000244,-0.000977,0,0,0,0
73.807175,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.000479,-0.019775,-0.011475,0.344482,-0.000977,0.000244,0.001709,0,0,0,0
73.816933,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.000990,-0.019775,-0.011475,0.344482,-0.002197,-0.000732,0.001709,0,0,0,0
73.826698,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001503,-0.019775,-0.011475,0.344482,0.000488,-0.000244,0.001221,0,0,0,0
73.836472,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001619,-0.019775,-0.011475,0.344482,-0.004883,-0.004883,0.003418,0,0,0,0
73.846237,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001701,-0.019775,-0.011475,0.344482,0.002686,-0.003174,0.001709,0,0,0,0
73.855995,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001341,-0.019775,-0.011475,0.344482,-0.002197,-0.000732,0.001709,0,0,0,0
73.865768,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001137,-0.019775,-0.011475,0.344482,-0.000977,-0.001709,-0.000488,0,0,0,0
73.875526,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001200,-0.019775,-0.011475,0.344482,-0.000488,-0.002686,0.001221,0,0,0,0
73.885292,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001295,-0.019775,-0.011475,0.344482,0.000488,-0.001221,0.001709,0,0,0,0
73.895058,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001411,-0.019775,-0.011475,0.344482,-0.005371,0.001221,-0.000488,0,0,0,0
73.904831,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001637,-0.019775,-0.011475,0.344482,0.000488,-0.000244,-0.000488,0,0,0,0
73.914589,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001463,-0.019775,-0.011475,0.344482,-0.002686,0.000244,-0.000977,0,0,0,0
73.924362,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001301,-0.019775,-0.011475,0.344482,0.000000,-0.001221,0.002930,0,0,0,0
73.934120,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001640,-0.019775,-0.011475,0.344482,0.000000,-0.000244,0.001709,0,0,0,0
73.943893,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001448,-0.019775,-0.011475,0.344482,-0.000488,0.002441,-0.001953,0,0,0,0
73.953659,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001390,-0.019775,-0.011475,0.344482,-0.002197,-0.003174,0.000244,0,0,0,0
73.963425,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001520,-0.019775,-0.011475,0.344482,0.000000,-0.000244,0.000244,0,0,0,0
73.973190,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.001329,-0.019775,-0.011475,0.344482,-0.004883,0.000244,0.000244,0,0,0,0
73.982956,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.002195,-0.019775,-0.011475,0.344482,0.000000,0.000732,-0.004150,0,0,0,0
73.992722,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.002537,-0.019775,-0.011475,0.344482,-0.000977,-0.000732,-0.001953,0,0,0,0
74.002487,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.002769,-0.019775,-0.011475,0.344482,-0.002686,-0.002197,-0.000488,0,0,0,0
74.012253,-1.628906,-1.046875,-0.007812,0.000000,0.000000,-0.002209,-0.019775,-0.011475,0.344482,-0.004883,0.000244,-0.000488,0,0,0,0
