time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
59.180279,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008762,-0.007812,-0.003906,-0.166260,-0.001709,-0.002197,0.001221,0,0,0,0
59.190041,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008766,-0.007812,-0.003906,-0.166260,-0.003906,0.001221,0.001221,0,0,0,0
59.199810,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.009132,-0.007812,-0.003906,-0.166260,-0.000732,0.000732,0.000732,0,0,0,0
59.209576,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.009096,-0.007812,-0.003906,-0.166260,-0.001709,-0.000244,0.001221,0,0,0,0
59.219341,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.009415,-0.007812,-0.003906,-0.166260,0.001953,0.001953,0.002930,0,0,0,0
59.229107,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.009024,-0.007812,-0.003906,-0.166260,0.001465,-0.003174,-0.000244,0,0,0,0
59.238873,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008581,-0.007812,-0.003906,-0.166260,0.001465,-0.000732,-0.000244,0,0,0,0
59.248638,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008448,-0.007812,-0.003906,-0.166260,-0.002197,0.001221,0.001709,0,0,0,0
59.258400,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008715,-0.007812,-0.003906,-0.166260,-0.001709,-0.000732,0.000244,0,0,0,0
59.268166,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.009052,-0.007812,-0.003906,-0.166260,-0.001221,-0.001709,0.001221,0,0,0,0
59.277931,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008368,-0.007812,-0.003906,-0.166260,-0.001221,0.000244,-0.000244,0,0,0,0
59.287697,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008352,-0.007812,-0.003906,-0.166260,0.000488,0.000732,-0.000977,0,0,0,0
59.297466,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.009159,-0.007812,-0.003906,-0.166260,-0.001221,0.000244,-0.001953,0,0,0,0
59.307228,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008484,-0.007812,-0.003906,-0.166260,-0.002686,-0.000732,0.000244,0,0,0,0
59.316998,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008535,-0.007812,-0.003906,-0.166260,-0.003906,0.001953,0.002197,0,0,0,0
59.326759,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008266,-0.007812,-0.003906,-0.166260,-0.002197,0.000244,0.000244,0,0,0,0
59.336533,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008265,-0.007812,-0.003906,-0.166260,-0.002197,-0.002686,0.002197,0,0,0,0
59.346291,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.007635,-0.007812,-0.003906,-0.166260,-0.000244,0.000244,0.000732,0,0,0,0
59.356056,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008009,-0.007812,-0.003906,-0.166260,-0.000244,-0.000732,0.000244,0,0,0,0
59.365822,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.007898,-0.007812,-0.003906,-0.166260,-0.001709,0.000244,0.000244,0,0,0,0
59.375587,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008989,-0.007812,-0.003906,-0.166260,-0.000732,-0.000732,0.001221,0,0,0,0
59.385353,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.009031,-0.007812,-0.003906,-0.166260,-0.002197,0.000732,0.002197,0,0,0,0
59.395119,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.009554,-0.007812,-0.003906,-0.166260,-0.001221,-0.000244,-0.000244,0,0,0,0
59.404884,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008659,-0.007812,-0.003906,-0.166260,-0.001221,-0.001221,0.000244,0,0,0,0
59.414650,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008764,-0.007812,-0.003906,-0.166260,0.001953,0.000244,0.001709,0,0,0,0
59.424419,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008787,-0.007812,-0.003906,-0.166260,-0.001221,-0.001221,0.001221,0,0,0,0
59.434181,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.009134,-0.007812,-0.003906,-0.166260,-0.002197,0.001221,0.003418,0,0,0,0
59.443947,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008633,-0.007812,-0.003906,-0.166260,-0.000244,-0.003174,0.002930,0,0,0,0
59.453712,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.009171,-0.007812,-0.003906,-0.166260,-0.001221,0.000244,0.000732,0,0,0,0
59.463478,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.009399,-0.007812,-0.003906,-0.166260,-0.003906,-0.001709,0.000244,0,0,0,0
59.473244,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008406,-0.007812,-0.003906,-0.166260,-0.001221,-0.001221,0.002197,0,0,0,0
59.483013,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008053,-0.007812,-0.003906,-0.166260,-0.004883,-0.000732,-0.001465,0,0,0,0
59.492775,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008165,-0.007812,-0.003906,-0.166260,-0.001709,-0.000732,-0.000244,0,0,0,0
59.502541,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.008526,-0.007812,-0.003906,-0.166260,-0.002197,0.000732,-0.000977,0,0,0,0
59.512306,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.007895,-0.007812,-0.003906,-0.166260,-0.001221,-0.000732,0.002197,0,0,0,0
59.522076,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.007904,-0.007812,-0.003906,-0.166260,-0.001709,-0.001709,-0.000244,0,0,0,0
59.531837,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006464,-0.007812,-0.003906,-0.166260,-0.000244,-0.001221,-0.001465,0,0,0,0
59.541611,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006145,-0.007993,-0.004035,-0.166441,-0.003906,-0.001221,0.001221,0,0,0,0
59.551369,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006376,-0.007812,-0.003906,-0.166260,-0.000732,0.000732,-0.001465,0,0,0,0
59.561134,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006681,-0.007812,-0.003906,-0.166260,0.000977,-0.000732,0.000732,0,0,0,0
59.570915,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006264,-0.007812,-0.003906,-0.166260,-0.000732,-0.000732,0.002197,0,0,0,0
59.580666,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006287,-0.007812,-0.003906,-0.166260,-0.000244,-0.001221,-0.000977,0,0,0,0
59.590431,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006443,-0.007812,-0.003906,-0.166260,-0.001709,-0.000732,0.001221,0,0,0,0
59.600197,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006834,-0.007812,-0.003906,-0.166260,0.000488,0.002441,0.000244,0,0,0,0
59.609962,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.005161,-0.007812,-0.003906,-0.166260,-0.001221,-0.001221,0.001709,0,0,0,0
59.619728,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.005169,-0.007812,-0.003906,-0.166260,-0.000732,-0.000732,0.001709,0,0,0,0
59.629494,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.005335,-0.007812,-0.003906,-0.166260,-0.002686,-0.001709,0.002197,0,0,0,0
59.639259,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.005310,-0.007812,-0.003906,-0.166260,-0.001221,-0.001221,0.001221,0,0,0,0
59.649025,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.005266,-0.007812,-0.003906,-0.166260,-0.003906,-0.001221,0.000732,0,0,0,0
59.658791,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.005472,-0.007812,-0.003906,-0.166260,0.000488,-0.001221,0.003418,0,0,0,0
59.668560,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.005663,-0.007812,-0.003906,-0.166260,0.001465,-0.002686,0.001221,0,0,0,0
59.678326,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.005251,-0.007812,-0.003906,-0.166260,-0.001709,-0.001221,0.001709,0,0,0,0
59.688087,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006605,-0.007812,-0.003906,-0.166260,-0.000244,-0.001221,0.001221,0,0,0,0
59.697857,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.007088,-0.007812,-0.003906,-0.166260,0.000977,-0.000244,0.000244,0,0,0,0
59.707623,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006777,-0.007812,-0.003906,-0.166260,-0.000244,-0.001221,0.001221,0,0,0,0
59.717388,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006990,-0.007812,-0.003906,-0.166260,0.001465,-0.000732,0.001709,0,0,0,0
59.727154,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.007063,-0.007812,-0.003906,-0.166260,-0.000732,-0.002197,0.001709,0,0,0,0
59.736923,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.007441,-0.007812,-0.003906,-0.166260,0.000977,0.000732,0.000244,0,0,0,0
59.746681,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.007334,-0.007812,-0.003906,-0.166260,-0.001709,0.001221,0.002930,0,0,0,0
59.756451,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.007595,-0.007812,-0.003906,-0.166260,0.000488,-0.000244,0.000732,0,0,0,0
59.766216,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006561,-0.007812,-0.003906,-0.166260,0.000488,-0.000732,-0.000244,0,0,0,0
59.775978,-1.007812,-1.289062,0.000000,0.000000,0.000000,-0.006577,-0.007812,-0.003906,-0.166260,-0.002686,-0.000244,0.003906,0,0,0,0
