time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
9.672515,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.054461,0.008484,0.006348,0.033760,0.000244,-0.000732,-0.001709,0,0,0,0
9.680317,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.051746,0.008423,0.006348,0.033821,0.000244,-0.000244,-0.001221,0,0,0,0
9.690085,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.052757,0.008423,0.006348,0.033821,0.002441,0.000244,0.000000,0,0,0,0
9.699852,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.053635,0.008423,0.006348,0.033821,0.003418,-0.000244,0.002197,0,0,0,0
9.709614,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.050955,0.008423,0.006348,0.033821,-0.001465,-0.000244,0.000000,0,0,0,0
9.719382,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.051710,0.008423,0.006348,0.033821,-0.000244,-0.000244,-0.001221,0,0,0,0
9.729148,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.052286,0.008423,0.006348,0.033821,-0.002930,-0.000732,0.002686,0,0,0,0
9.738917,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.053711,0.008423,0.006348,0.033821,-0.000732,0.002686,0.000488,0,0,0,0
9.748676,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.050598,0.008423,0.006348,0.033821,-0.002441,0.000244,0.002686,0,0,0,0
9.758446,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.051489,0.008423,0.006348,0.033821,0.000244,-0.001709,-0.001221,0,0,0,0
9.768208,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.052700,0.008423,0.006348,0.033821,0.000732,-0.000732,0.000000,0,0,0,0
9.777974,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.050169,0.008423,0.006348,0.033821,-0.003418,0.000732,0.000488,0,0,0,0
9.787748,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.051134,0.008301,0.006348,0.033691,0.001953,-0.000732,0.001465,0,0,0,0
9.797509,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.052099,0.008423,0.006348,0.033821,0.000732,0.000732,0.000488,0,0,0,0
9.807277,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.048635,0.008423,0.006348,0.033821,-0.000732,-0.000732,0.002197,0,0,0,0
9.817043,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.049803,0.008423,0.006348,0.033821,0.002930,0.002197,-0.001221,0,0,0,0
9.826807,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.050858,0.008423,0.006348,0.033821,-0.002441,0.001221,0.000977,0,0,0,0
9.836566,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.051966,0.008423,0.006348,0.033821,0.001221,-0.002930,0.001465,0,0,0,0
9.846332,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.049374,0.008423,0.006348,0.033821,0.002441,-0.000732,0.000488,0,0,0,0
9.856101,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.050198,0.008423,0.006348,0.033821,-0.000732,-0.000244,0.000977,0,0,0,0
9.865864,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.051147,0.008423,0.006348,0.033821,0.000244,-0.001709,0.000000,0,0,0,0
9.875630,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.048037,0.008423,0.006287,0.033821,0.001953,0.001709,-0.001221,0,0,0,0
9.885397,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.049198,0.008423,0.006287,0.033821,0.000244,-0.000732,0.000488,0,0,0,0
9.895163,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.050066,0.008423,0.006287,0.033821,-0.001465,-0.001709,-0.002197,0,0,0,0
9.904927,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.050995,0.008423,0.006287,0.033821,-0.001953,-0.000732,0.002197,0,0,0,0
9.914692,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.048306,0.008423,0.006287,0.033821,-0.000244,-0.000244,-0.000488,0,0,0,0
9.924459,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.049473,0.008423,0.006287,0.033821,-0.000244,0.001221,0.000488,0,0,0,0
9.934223,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.050516,0.008423,0.006287,0.033821,0.000732,0.000244,-0.000488,0,0,0,0
9.943987,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.047211,0.008423,0.006287,0.033821,-0.003906,0.000244,0.003174,0,0,0,0
9.953759,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.048204,0.008362,0.006287,0.033821,-0.001953,0.000244,0.000977,0,0,0,0
9.963521,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.049013,0.008362,0.006287,0.033821,0.000244,0.000244,-0.002197,0,0,0,0
9.973293,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.050049,0.008362,0.006287,0.033821,-0.003418,-0.001221,0.002197,0,0,0,0
9.983061,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.047194,0.008362,0.006287,0.033821,-0.001465,-0.001709,-0.000488,0,0,0,0
9.992824,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.048607,0.008362,0.006287,0.033821,-0.002441,0.000732,0.000488,0,0,0,0
10.002583,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.049528,0.008362,0.006287,0.033821,-0.003418,-0.000244,0.000000,0,0,0,0
10.012349,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.046892,0.008362,0.006287,0.033821,-0.000244,-0.001221,-0.001709,0,0,0,0
10.022123,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.047855,0.008301,0.006104,0.033691,0.000244,-0.000244,0.002197,0,0,0,0
10.031880,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.049107,0.008362,0.006287,0.033821,0.000244,-0.002930,0.000000,0,0,0,0
10.041645,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.046753,0.008362,0.006287,0.033821,0.000732,-0.000732,0.000488,0,0,0,0
10.051414,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.048082,0.008362,0.006287,0.033821,0.001953,-0.002197,-0.000488,0,0,0,0
10.061179,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.049124,0.008362,0.006287,0.033821,0.002441,0.000732,-0.000488,0,0,0,0
10.070942,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.049780,0.008362,0.006287,0.033821,0.000244,0.003418,0.000977,0,0,0,0
10.080708,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.045893,0.008362,0.006287,0.033821,-0.000732,-0.001709,0.000000,0,0,0,0
10.090477,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.047073,0.008362,0.006287,0.033821,0.000244,-0.000244,-0.000488,0,0,0,0
10.100242,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.048231,0.008362,0.006287,0.033821,0.000244,0.000732,0.000977,0,0,0,0
10.110007,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.046299,0.008362,0.006287,0.033821,-0.000732,0.002686,0.000977,0,0,0,0
10.119776,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.047396,0.008362,0.006226,0.033821,-0.000732,0.001221,-0.001221,0,0,0,0
10.129539,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.048315,0.008362,0.006226,0.033821,0.001953,-0.001709,0.000488,0,0,0,0
10.139303,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.049389,0.008362,0.006226,0.033821,-0.000732,-0.000732,0.002686,0,0,0,0
10.149069,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.047174,0.008362,0.006226,0.033821,-0.002930,-0.003418,-0.001221,0,0,0,0
10.158838,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.046955,0.008362,0.006226,0.033821,-0.001465,0.000244,-0.001221,0,0,0,0
10.168600,-1.917969,-1.308594,0.000000,0.000000,0.000000,-0.048157,0.008362,0.006226,0.033821,0.000244,-0.000244,0.000488,0,0,0,0
