time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
7.914681,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042818,-0.002625,0.001343,0.493462,-0.001709,0.003418,-0.001709,0,0,0,0
7.924450,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043623,-0.002441,0.001221,0.493408,0.000732,0.001709,0.000488,0,0,0,0
7.934211,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.044760,-0.002625,0.001404,0.493462,0.000244,0.001709,-0.001221,0,0,0,0
7.943976,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042927,-0.002625,0.001404,0.493462,-0.001709,-0.000244,-0.000244,0,0,0,0
7.953742,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043777,-0.002625,0.001404,0.493462,0.000732,0.001709,-0.000244,0,0,0,0
7.963508,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043812,-0.002625,0.001404,0.493462,0.001465,-0.001221,0.002441,0,0,0,0
7.973273,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041737,-0.002625,0.001404,0.493462,0.000244,0.002930,-0.002197,0,0,0,0
7.983047,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042797,-0.002625,0.001404,0.493462,0.002930,-0.000732,-0.000244,0,0,0,0
7.992804,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043684,-0.002625,0.001404,0.493462,0.001465,-0.000244,-0.000244,0,0,0,0
8.002570,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.044432,-0.002625,0.001404,0.493462,0.000244,-0.000244,0.000488,0,0,0,0
8.012335,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042467,-0.002625,0.001404,0.493462,0.001953,0.001709,0.000488,0,0,0,0
8.022101,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043262,-0.002625,0.001404,0.493462,-0.001709,0.000244,-0.000732,0,0,0,0
8.031867,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.044462,-0.002625,0.001404,0.493462,0.000244,0.000244,0.000488,0,0,0,0
8.041633,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.040886,-0.002625,0.001404,0.493462,0.000244,-0.000732,-0.000244,0,0,0,0
8.051399,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041897,-0.002625,0.001404,0.493516,0.002441,-0.001221,0.001465,0,0,0,0
8.061163,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042797,-0.002564,0.001343,0.493516,0.001465,0.001221,-0.001221,0,0,0,0
8.070930,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.040867,-0.002564,0.001343,0.493516,0.000244,-0.002197,-0.000732,0,0,0,0
8.080695,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041599,-0.002564,0.001343,0.493516,-0.001709,-0.000244,0.000488,0,0,0,0
8.090460,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042589,-0.002564,0.001343,0.493516,0.001953,0.000732,-0.000732,0,0,0,0
8.100226,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043497,-0.002564,0.001343,0.493516,0.001465,0.000732,-0.001709,0,0,0,0
8.109991,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041792,-0.002564,0.001343,0.493516,0.002441,0.000244,0.000488,0,0,0,0
8.119757,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041885,-0.002564,0.001343,0.493516,0.002930,-0.000244,0.000977,0,0,0,0
8.129524,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.043173,-0.002564,0.001343,0.493516,-0.000244,0.002441,0.001953,0,0,0,0
8.139289,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041435,-0.002564,0.001343,0.493516,-0.000732,-0.000732,-0.000732,0,0,0,0
8.149061,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042063,-0.002564,0.001343,0.493516,-0.000244,0.002441,-0.001221,0,0,0,0
8.158824,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.043320,-0.002441,0.001221,0.493408,0.000244,-0.000732,0.001465,0,0,0,0
8.168586,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.044186,-0.002564,0.001343,0.493516,0.001953,0.000732,-0.000244,0,0,0,0
8.178389,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042170,-0.002564,0.001343,0.493516,0.000732,-0.000244,0.000977,0,0,0,0
8.188117,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.043156,-0.002564,0.001343,0.493516,-0.000244,0.001221,-0.000244,0,0,0,0
8.197883,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.043320,-0.002564,0.001343,0.493516,-0.000244,0.001221,0.002441,0,0,0,0
8.207647,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041861,-0.002564,0.001343,0.493516,-0.000732,0.000244,0.000977,0,0,0,0
8.217413,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042864,-0.002564,0.001343,0.493516,0.002441,-0.000732,0.001465,0,0,0,0
8.227181,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043673,-0.002564,0.001343,0.493516,0.000244,-0.002197,0.000488,0,0,0,0
8.236945,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.044189,-0.002564,0.001343,0.493516,-0.001221,-0.001221,0.000488,0,0,0,0
8.246710,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041880,-0.002564,0.001343,0.493516,0.000244,-0.000244,0.000977,0,0,0,0
8.256476,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043158,-0.002564,0.001343,0.493516,-0.000244,0.003418,0.001465,0,0,0,0
8.266241,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043911,-0.002564,0.001343,0.493516,-0.000244,-0.001709,0.000488,0,0,0,0
8.276007,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041731,-0.002564,0.001343,0.493516,0.000732,-0.001221,0.000488,0,0,0,0
8.285772,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042440,-0.002564,0.001343,0.493516,-0.000244,0.001221,-0.001221,0,0,0,0
8.295538,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043619,-0.002503,0.001404,0.493516,0.001953,0.000244,0.000488,0,0,0,0
8.305305,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041445,-0.002503,0.001404,0.493516,-0.000732,0.000244,-0.001221,0,0,0,0
8.315070,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042204,-0.002503,0.001404,0.493516,-0.000732,-0.000732,0.001465,0,0,0,0
8.324834,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043373,-0.002503,0.001404,0.493516,0.001465,0.002930,0.001465,0,0,0,0
8.334601,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.044161,-0.002503,0.001404,0.493516,0.001465,0.000732,-0.000244,0,0,0,0
8.344366,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042009,-0.002503,0.001404,0.493516,-0.001709,-0.001709,-0.000732,0,0,0,0
8.354132,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041985,-0.002503,0.001404,0.493516,0.000732,-0.001221,-0.001221,0,0,0,0
8.363897,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.042824,-0.002503,0.001404,0.493516,-0.000732,-0.000732,-0.001221,0,0,0,0
8.373663,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041290,-0.002503,0.001404,0.493516,-0.002441,0.001709,-0.000732,0,0,0,0
8.383437,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.042067,-0.002503,0.001404,0.493516,0.000732,0.000244,0.002441,0,0,0,0
8.393194,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043009,-0.002503,0.001404,0.493516,-0.000244,0.000732,0.000977,0,0,0,0
8.402960,1.718750,-0.058594,0.003906,0.000000,0.000000,-0.043488,-0.002503,0.001404,0.493516,0.000244,-0.000732,-0.000244,0,0,0,0
8.412725,1.718750,-0.058594,0.007812,0.000000,0.000000,-0.041344,-0.002503,0.001404,0.493516,-0.001221,-0.000732,-0.000244,0,0,0,0
