time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
200.641144,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005169,-0.001099,-0.000671,0.482403,-0.001221,0.001465,-0.000244,0,0,0,0
200.650909,1.656250,-0.046875,0.027344,0.000000,0.000000,0.004923,-0.001099,-0.000671,0.482403,-0.001221,-0.000488,0.001709,0,0,0,0
200.660675,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005028,-0.001099,-0.000671,0.482403,-0.000732,-0.001465,-0.002441,0,0,0,0
200.670441,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005114,-0.001099,-0.000671,0.482403,-0.001221,0.000000,-0.002930,0,0,0,0
200.680206,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005054,-0.001099,-0.000671,0.482403,0.001953,0.000000,0.000732,0,0,0,0
200.689972,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005152,-0.001099,-0.000671,0.482403,-0.000244,0.000488,0.000732,0,0,0,0
200.699738,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005402,-0.001099,-0.000671,0.482403,0.000732,-0.000488,-0.001465,0,0,0,0
200.709503,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005486,-0.001099,-0.000671,0.482403,-0.000732,0.000977,-0.002441,0,0,0,0
200.719269,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005365,-0.001160,-0.000671,0.482403,-0.003418,0.000000,0.000244,0,0,0,0
200.729034,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005621,-0.001160,-0.000671,0.482403,-0.000244,-0.000977,-0.000244,0,0,0,0
200.738800,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005564,-0.001160,-0.000671,0.482403,0.003418,0.000488,-0.002441,0,0,0,0
200.748566,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005510,-0.001160,-0.000671,0.482403,-0.002930,-0.001465,0.000244,0,0,0,0
200.758331,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005888,-0.001160,-0.000671,0.482403,0.000732,0.000977,0.000244,0,0,0,0
200.768097,1.656250,-0.046875,0.027344,0.000000,0.000000,0.005861,-0.001160,-0.000671,0.482403,-0.000244,0.000000,0.001221,0,0,0,0
200.777863,1.656250,-0.046875,0.027344,0.000000,0.000000,0.003220,-0.001160,-0.000671,0.482403,-0.003418,-0.000488,-0.001465,0,0,0,0
200.787628,1.656250,-0.046875,0.027344,0.000000,0.000000,0.003731,-0.001160,-0.000671,0.482403,-0.000732,0.000488,-0.000244,0,0,0,0
200.797394,1.656250,-0.046875,0.027344,0.000000,0.000000,0.003977,-0.001160,-0.000671,0.482403,0.000732,0.000000,0.000732,0,0,0,0
200.807159,1.656250,-0.046875,0.027344,0.000000,0.000000,0.004158,-0.001160,-0.000671,0.482403,0.000732,0.000977,-0.000732,0,0,0,0
200.816925,1.656250,-0.046875,0.027344,0.000000,0.000000,0.004210,-0.001160,-0.000671,0.482403,0.001465,-0.000488,-0.002441,0,0,0,0
200.826691,1.656250,-0.046875,0.027344,0.000000,0.000000,0.004217,-0.001160,-0.000671,0.482403,-0.000732,0.003174,-0.001465,0,0,0,0
200.836456,1.656250,-0.046875,0.027344,0.000000,0.000000,0.003998,-0.001160,-0.000671,0.482403,0.000732,-0.000488,-0.000732,0,0,0,0
200.846222,1.656250,-0.046875,0.027344,0.000000,0.000000,0.003857,-0.001160,-0.000671,0.482403,0.001465,-0.002930,0.000732,0,0,0,0
200.855988,1.656250,-0.046875,0.027344,0.000000,0.000000,0.004974,-0.001160,-0.000671,0.482403,-0.000244,0.001465,-0.000244,0,0,0,0
200.865753,1.656250,-0.046875,0.027344,0.000000,0.000000,0.004465,-0.001160,-0.000671,0.482403,-0.000732,0.000000,0.003906,0,0,0,0
200.875519,1.656250,-0.046875,0.027344,0.000000,0.000000,0.004162,-0.001160,-0.000671,0.482403,-0.002441,-0.001953,-0.000244,0,0,0,0
200.885284,1.656250,-0.046875,0.027344,0.000000,0.000000,0.004118,-0.001160,-0.000671,0.482403,0.000244,0.000488,0.000732,0,0,0,0
