# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.131177787780779791e-06,0.000000000000000000e+00,-1.500000565588893942e+00,1.776849913998025445e-06,1.111959709167498255e-04,0.000000000000000000e+00,-5.559798545837491273e-05,1.746662226704227610e-04,8.667583374023579007e-03,0.000000000000000000e+00,-4.333791687011789504e-03,1.361500812610475300e-02
1.000000000000000056e-01,3.322220703125054975e-05,0.000000000000000000e+00,-1.500016611103515585e+00,5.218532077270793181e-05,1.603559179687526638e-03,0.000000000000000000e+00,-8.017795898437633188e-04,2.518864869251404362e-03,6.076645312500102147e-02,0.000000000000000000e+00,-3.038322656250051074e-02,9.545172136110585681e-02
1.500000000000000222e-01,2.311509598159830210e-04,0.000000000000000000e+00,-1.500115575479908037e+00,3.630910786140608012e-04,7.296633592987187417e-03,0.000000000000000000e+00,-3.648316796493593708e-03,1.146152524583251946e-02,1.788003907470734621e-01,0.000000000000000000e+00,-8.940019537353673107e-02,2.808589970149952264e-01
2.000000000000000111e-01,8.909200000000151937e-04,0.000000000000000000e+00,-1.500445459999999898e+00,1.399453863468133087e-03,2.066715000000035954e-02,0.000000000000000000e+00,-1.033357500000017977e-02,3.246388330531970595e-02,3.674160000000066262e-01,0.000000000000000000e+00,-1.837080000000033131e-01,5.771357032056840808e-01
2.500000000000000000e-01,2.482280135154767055e-03,0.000000000000000000e+00,-1.501241140067577362e+00,3.899156518377047426e-03,4.507988691330036546e-02,0.000000000000000000e+00,-2.253994345665018273e-02,7.081132077574153749e-02,6.182384490966912338e-01,0.000000000000000000e+00,-3.091192245483456169e-01,9.711266849244563071e-01
3.000000000000000444e-01,5.628663105468854032e-03,0.000000000000000000e+00,-1.502814331552734473e+00,8.841483330836431842e-03,8.324368417968908140e-02,0.000000000000000000e+00,-4.162184208984454070e-02,1.307588733383300561e-01,9.140482968750183179e-01,0.000000000000000000e+00,-4.570241484375091590e-01,1.435783707244409735e+00
3.500000000000000333e-01,1.106487354999562481e-02,0.000000000000000000e+00,-1.505532436774997818e+00,1.738066272878313959e-02,1.368606324943568986e-01,0.000000000000000000e+00,-6.843031624717844930e-02,2.149801788049621187e-01,1.232338162719752050e+00,0.000000000000000000e+00,-6.161690813598760252e-01,1.935752259369358352e+00
4.000000000000000222e-01,1.958144000000037327e-02,0.000000000000000000e+00,-1.509790720000000253e+00,3.075845402535524326e-02,2.064384000000041020e-01,0.000000000000000000e+00,-1.032192000000020510e-01,3.242726804294220333e-01,1.548288000000033415e+00,0.000000000000000000e+00,-7.741440000000167077e-01,2.432045103220670690e+00
4.500000000000000111e-01,3.196307115795197357e-02,0.000000000000000000e+00,-1.515981535578976080e+00,5.020747476799486408e-02,2.912375951408446295e-01,0.000000000000000000e+00,-1.456187975704223148e-01,4.574749446718179846e-01,1.837197732788128146e+00,0.000000000000000000e+00,-9.185988663940640730e-01,2.885863450259504415e+00
