# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.131177787780779791e-06,0.000000000000000000e+00,-5.000005655888939415e-01,1.776849913998025445e-06,1.111959709167498255e-04,0.000000000000000000e+00,-5.559798545837491273e-05,1.746662226704227610e-04
1.000000000000000056e-01,3.322220703125054975e-05,0.000000000000000000e+00,-5.000166111035155847e-01,5.218532077270793181e-05,1.603559179687526638e-03,0.000000000000000000e+00,-8.017795898437633188e-04,2.518864869251404362e-03
1.500000000000000222e-01,2.311509598159830210e-04,0.000000000000000000e+00,-5.001155754799080366e-01,3.630910786140608012e-04,7.296633592987187417e-03,0.000000000000000000e+00,-3.648316796493593708e-03,1.146152524583251946e-02
2.000000000000000111e-01,8.909200000000151937e-04,0.000000000000000000e+00,-5.004454600000000086e-01,1.399453863468133087e-03,2.066715000000035954e-02,0.000000000000000000e+00,-1.033357500000017977e-02,3.246388330531970595e-02
2.500000000000000000e-01,2.482280135154767055e-03,0.000000000000000000e+00,-5.012411400675773621e-01,3.899156518377047426e-03,4.507988691330036546e-02,0.000000000000000000e+00,-2.253994345665018273e-02,7.081132077574153749e-02
3.000000000000000444e-01,5.628663105468854032e-03,0.000000000000000000e+00,-5.028143315527344726e-01,8.841483330836431842e-03,8.324368417968908140e-02,0.000000000000000000e+00,-4.162184208984454070e-02,1.307588733383300561e-01
3.500000000000000333e-01,1.106487354999562481e-02,0.000000000000000000e+00,-5.055324367749978176e-01,1.738066272878313959e-02,1.368606324943568986e-01,0.000000000000000000e+00,-6.843031624717844930e-02,2.149801788049621187e-01
4.000000000000000222e-01,1.958144000000037327e-02,0.000000000000000000e+00,-5.097907200000001415e-01,3.075845402535524326e-02,2.064384000000041020e-01,0.000000000000000000e+00,-1.032192000000020510e-01,3.242726804294220333e-01
4.500000000000000111e-01,3.196307115795197357e-02,0.000000000000000000e+00,-5.159815355789759694e-01,5.020747476799486408e-02,2.912375951408446295e-01,0.000000000000000000e+00,-1.456187975704223148e-01,4.574749446718179846e-01
