# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
0.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000222e-01,2.500000000000000000e-01,-1.514999999999999902e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
5.000000000000000278e-02,1.498106664064080773e+00,7.496875390601749622e-02,-1.992509404257944317e+00,1.249967448170978893e-02,-7.571687637275155425e-02,1.498125390592449424e+00,1.494358241987250591e-01,2.499804690043118394e-01,-1.513012762263185040e+00,-7.496875390601749622e-02,-2.255906505918537502e-02,-7.812296551068618079e-04
1.000000000000000056e-01,1.492431623226518456e+00,1.497501249702422321e-01,-1.985075186270627068e+00,2.499739591471233230e-02,-1.512351188993266704e-01,1.492506247917038786e+00,1.477456860311787967e-01,2.499218790689256564e-01,-1.507056444200489009e+00,-1.497501249702422321e-01,-4.502258937194443533e-02,-1.562337244669520769e-03
1.500000000000000222e-01,1.482989764913171582e+00,2.241571987103988528e-01,-1.977753485012650581e+00,3.749121155546027151e-02,-2.263566329971068991e-01,1.483156616904063307e+00,1.449367445976669777e-01,2.498242393483996737e-01,-1.497147216183573271e+00,-2.241571987103988528e-01,-6.729537643689739723e-02,-2.343200722216266969e-03
2.000000000000000111e-01,1.469805856589045279e+00,2.980039961925918246e-01,-1.970599962758716073e+00,4.997916927067833082e-02,-3.008844011041484912e-01,1.470099866761862550e+00,1.410209030657675888e-01,2.496875650987415707e-01,-1.483311978636308259e+00,-2.980039961925918246e-01,-8.928291708970073626e-02,-3.123698079417395676e-03
2.500000000000000000e-01,1.452914478522886021e+00,3.711059388817843918e-01,-1.963669568881724503e+00,6.245931784238020062e-02,-3.746230174277213054e-01,1.453368632565967156e+00,1.360147657717595826e-01,2.495118776750247791e-01,-1.465588286892009151e+00,-3.711059388817843918e-01,-1.108917302926370752e-01,-3.903707365148762539e-03
3.000000000000000444e-01,1.432359929920708153e+00,4.432803099920094025e-01,-1.957016306220472179e+00,7.492970727274235465e-02,-4.473792181907274568e-01,1.433004733688409083e+00,1.299395783639431812e-01,2.492972045280518745e-01,-1.444024246294289604e+00,-4.432803099920094025e-01,-1.320297004798781371e-01,-4.683106704546397166e-03
3.500000000000000333e-01,1.408196108690428439e+00,5.143467111831770966e-01,-1.950693000860076243e+00,8.738838908878721057e-02,-5.189624058953204999e-01,1.409059069271068276e+00,1.228211511883914309e-01,2.490435792000652571e-01,-1.418678377841202431e+00,-5.143467111831770966e-01,-1.526064103275886485e-01,-5.461774318049200660e-03
4.000000000000000222e-01,1.380486365173423602e+00,5.841275134629757559e-01,-1.944751076156817859e+00,9.983341664682815475e-02,-5.891851661401353857e-01,1.381591491004327654e+00,1.146897661738637830e-01,2.487510413195064551e-01,-1.389619454756462202e+00,-5.841275134629757559e-01,-1.725334678327774818e-01,-6.239588540426759672e-03
4.500000000000000111e-01,1.349303330251484301e+00,6.524483011668453791e-01,-1.939240331824872321e+00,1.122628454366285805e-01,-6.578637755488112582e-01,1.350670653529015386e+00,1.055800675279705420e-01,2.484196365948241059e-01,-1.356926310454563467e+00,-6.524483011668453791e-01,-1.917248266031387760e-01,-7.016427839789286282e-03
